City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Buloh Kasap,MY,77.0,light rain,2.55,102.76,Teratak Ixora Segamat
121,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
122,Razole,IN,71.35,clear sky,16.48,81.83,Sterling Palavelli Godavari
125,Chirala,IN,73.38,clear sky,15.82,80.35,Bala Residency
128,Alta Floresta,BR,88.84,light rain,-9.88,-56.09,Floresta Amazonica Hotel
130,Coruripe,BR,80.53,clear sky,-10.13,-36.18,Pousada e Hotel Litoral Sul
136,Agua Dulce,MX,84.2,broken clouds,18.13,-94.13,Hotel Victoria
139,Celestun,MX,81.18,scattered clouds,20.87,-90.4,Posada Lilia
140,Marawi,PH,73.99,overcast clouds,8.0,124.29,Derogongan Residence
141,Bambous Virieux,MU,73.99,broken clouds,-20.34,57.76,Casa Tia Villa
144,Idenao,CM,77.14,overcast clouds,4.25,9.0,Moland Beach Resort
148,Cap Malheureux,MU,73.99,clear sky,-19.98,57.61,Pereybere Hotel & Spa
154,Paita,PE,75.2,clear sky,-5.09,-81.11,Hotel Náutico de Paita
158,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
160,Kutum,SD,70.77,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
162,Yulara,AU,73.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
164,Padang,ID,76.89,moderate rain,-0.95,100.35,Mercure Padang
171,Vila Velha,BR,84.2,few clouds,-20.33,-40.29,Hotel Vitória Palace
172,Aylmer,CA,70.0,clear sky,42.77,-80.98,Aylmer Trillium Park
177,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
178,Kupang,ID,80.6,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
179,Kapit,MY,74.23,moderate rain,2.02,112.93,Hotel Meligai Kapit
183,Vao,NC,71.82,clear sky,-22.67,167.48,Hotel Kou-Bugny
186,Payo,ID,73.35,overcast clouds,-3.75,103.64,Mess keban agung
189,Kansanshi,ZM,72.05,overcast clouds,-12.1,26.43,
193,Samarai,PG,79.86,moderate rain,-10.62,150.67,Nuli Sapi
194,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
196,Pecos,US,86.0,clear sky,31.42,-103.49,Knights Inn Pecos
197,Sur,OM,76.28,clear sky,22.57,59.53,Sur Plaza Hotel
198,Sinnamary,GF,84.65,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
199,Souillac,MU,73.4,broken clouds,-20.52,57.52,Bils' Villa
202,Georgetown,MY,77.0,moderate rain,5.41,100.34,Cititel Penang
203,Tiarei,PF,82.4,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
204,Jamestown,US,71.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
208,Butaritari,KI,81.27,overcast clouds,3.07,172.79,Isles Sunset Lodge
