City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Manoel Urbano,BR,2020-11-08 16:57:58,-8.84,-69.26,96.62,35,100,4.65
156,Axim,GH,2020-11-08 16:57:58,4.87,-2.24,80.71,81,100,10.8
157,Laramie,US,2020-11-08 16:55:39,41.31,-105.59,34.0,47,1,41.38
158,Hobyo,SO,2020-11-08 16:57:59,5.35,48.53,81.27,79,2,14.79
159,Algeciras,ES,2020-11-08 16:57:59,36.13,-5.45,66.2,72,40,5.82
160,Huilong,CN,2020-11-08 16:57:59,31.81,121.66,60.01,73,0,11.03
161,Clyde River,CA,2020-11-08 16:57:59,70.47,-68.59,1.4,70,1,17.22
162,Asfi,MA,2020-11-08 16:57:59,32.3,-9.24,66.88,70,0,9.37
163,La Palma,US,2020-11-08 16:54:19,33.85,-118.05,59.0,71,40,5.82
164,Chunskiy,RU,2020-11-08 16:58:00,56.08,99.63,33.62,91,78,3.47
165,Oistins,BB,2020-11-08 16:56:30,13.07,-59.53,87.8,70,40,19.46
166,Pacific Grove,US,2020-11-08 16:58:00,36.62,-121.92,53.6,58,75,21.92
167,Tugulym,RU,2020-11-08 16:58:00,57.06,64.64,32.0,98,75,13.42
168,Zhigansk,RU,2020-11-08 16:58:00,66.77,123.37,-16.51,89,16,2.95
169,Vilyuysk,RU,2020-11-08 16:58:00,63.76,121.62,-9.51,90,3,3.96
170,Albany,US,2020-11-08 16:57:38,42.6,-73.97,68.0,45,22,2.24
171,Esperance,AU,2020-11-08 16:58:01,-33.87,121.9,64.4,82,16,14.99
172,Jodar,ES,2020-11-08 16:58:01,37.84,-3.35,60.01,80,55,3.36
173,Airai,TL,2020-11-08 16:58:01,-8.93,125.41,61.59,85,100,2.48
174,Inhambane,MZ,2020-11-08 16:58:01,-23.86,35.38,80.6,94,75,18.34
175,Ust-Nera,RU,2020-11-08 16:58:01,64.57,143.2,-13.76,80,22,3.71
176,Luganville,VU,2020-11-08 16:58:01,-15.53,167.17,78.69,84,19,8.16
177,Bahia Blanca,AR,2020-11-08 16:58:01,-38.72,-62.27,80.22,35,92,7.0
178,Mataura,NZ,2020-11-08 16:58:02,-46.19,168.86,48.99,90,70,1.01
179,Matay,EG,2020-11-08 16:58:02,28.42,30.78,71.62,43,72,7.29
180,Smidovich,RU,2020-11-08 16:58:02,48.6,133.82,25.77,88,53,7.78
181,Nyirbogdany,HU,2020-11-08 16:58:02,48.06,21.88,44.6,100,90,3.36
182,Cabo San Lucas,MX,2020-11-08 16:58:02,22.89,-109.91,82.99,73,5,11.41
183,Waitara,NZ,2020-11-08 16:58:02,-38.92,174.25,45.0,90,99,18.99
184,Gandhidham,IN,2020-11-08 16:53:07,23.08,70.13,82.54,30,0,8.5
185,Sitka,US,2020-11-08 16:58:03,57.05,-135.33,39.2,77,90,10.29
186,Hawera,NZ,2020-11-08 16:58:03,-39.59,174.28,46.99,94,100,3.0
187,Doka,SD,2020-11-08 16:58:03,13.52,35.77,82.74,24,0,5.95
188,Okha,RU,2020-11-08 16:58:03,53.57,142.95,24.37,91,100,15.21
189,Ciro Marina,IT,2020-11-08 16:58:04,39.37,17.13,59.0,82,0,9.17
190,Lebu,CL,2020-11-08 16:58:04,-37.62,-73.65,57.9,66,3,17.05
191,Westport,US,2020-11-08 16:55:19,41.14,-73.36,71.01,46,1,2.55
192,Komsomolskiy,UZ,2020-11-08 16:58:05,40.43,71.72,53.6,40,100,6.93
193,Mount Isa,AU,2020-11-08 16:58:05,-20.73,139.5,68.0,20,44,10.74
194,Mazagao,BR,2020-11-08 16:58:05,-0.12,-51.29,93.2,63,40,14.99
195,Kahului,US,2020-11-08 16:58:06,20.89,-156.47,77.0,69,1,9.17
196,Gobo,JP,2020-11-08 16:58:06,33.88,135.15,60.8,54,20,9.17
197,North Augusta,US,2020-11-08 16:53:12,33.5,-81.97,78.01,69,75,10.29
198,Bayan,CN,2020-11-08 16:58:07,46.08,127.4,22.21,90,49,8.66
199,Ancud,CL,2020-11-08 16:58:07,-41.87,-73.82,68.0,59,0,14.99
200,Meru,KE,2020-11-08 16:58:07,0.05,37.66,64.13,79,49,5.79
201,Portland,US,2020-11-08 16:55:46,45.52,-122.68,39.99,74,20,3.0
202,Steamboat Springs,US,2020-11-08 16:58:07,40.48,-106.83,36.0,55,1,11.41
203,Conceicao Do Araguaia,BR,2020-11-08 16:58:07,-8.26,-49.26,92.73,48,24,6.13
204,Sinnamary,GF,2020-11-08 16:58:07,5.38,-52.95,85.75,65,66,14.72
205,Paciran,ID,2020-11-08 16:58:07,-6.88,112.38,80.96,76,100,4.0
206,Henties Bay,NA,2020-11-08 16:58:08,-22.12,14.28,64.0,84,4,14.79
207,Allanridge,ZA,2020-11-08 16:58:08,-27.75,26.64,88.0,26,52,10.67
208,Ilulissat,GL,2020-11-08 16:58:08,69.22,-51.1,-2.38,77,19,8.1
209,Ponta Do Sol,PT,2020-11-08 16:58:08,32.67,-17.1,69.8,60,40,2.24
210,Paysandu,UY,2020-11-08 16:58:08,-32.32,-58.08,86.0,34,71,3.0
211,Sorland,NO,2020-11-08 16:58:08,67.67,12.69,44.6,81,75,29.97
212,Meulaboh,ID,2020-11-08 16:58:08,4.14,96.13,76.6,88,100,4.47
213,Pandan,PH,2020-11-08 16:58:08,14.05,124.17,78.85,87,100,5.73
214,Fortuna,US,2020-11-08 16:58:04,40.6,-124.16,46.99,93,40,8.05
215,Poso,ID,2020-11-08 16:58:09,-1.4,120.75,81.0,72,76,4.45
216,New Norfolk,AU,2020-11-08 16:58:09,-42.78,147.06,46.0,74,5,2.35
217,Maniitsoq,GL,2020-11-08 16:58:09,65.42,-52.9,17.31,80,0,16.49
218,Halvad,IN,2020-11-08 16:58:09,23.02,71.18,78.75,31,0,7.07
219,Hithadhoo,MV,2020-11-08 16:58:09,-0.6,73.08,84.36,72,28,8.1
220,Tukrah,LY,2020-11-08 16:58:09,32.53,20.58,65.77,66,14,14.12
221,Umm Kaddadah,SD,2020-11-08 16:58:09,13.6,26.69,81.86,19,0,7.36
222,Mahibadhoo,MV,2020-11-08 16:58:10,3.78,72.97,83.97,72,94,4.61
223,Piacabucu,BR,2020-11-08 16:58:10,-10.41,-36.43,82.99,58,53,11.5
224,Morgan City,US,2020-11-08 16:58:10,29.7,-91.21,73.99,100,90,6.93
225,Shelburne,CA,2020-11-08 16:58:10,44.08,-80.2,70.0,37,0,8.12
226,Bubaque,GW,2020-11-08 16:58:10,11.28,-15.83,85.28,71,48,10.65
227,Bossangoa,CF,2020-11-08 16:58:10,6.49,17.46,78.75,58,75,2.59
228,Tuatapere,NZ,2020-11-08 16:58:10,-46.13,167.68,48.99,90,94,1.01
229,Colquechaca,BO,2020-11-08 16:58:11,-18.67,-66.02,47.12,54,7,8.1
230,Smithers,CA,2020-11-08 16:58:11,54.78,-127.17,15.8,92,5,4.7
231,Nayoro,JP,2020-11-08 16:58:11,44.35,142.46,34.09,91,100,9.44
232,Puerto Padre,CU,2020-11-08 16:58:11,21.2,-76.6,80.6,88,75,17.22
233,Pisco,PE,2020-11-08 16:58:11,-13.7,-76.22,69.8,68,40,16.11
234,Kavieng,PG,2020-11-08 16:58:11,-2.57,150.8,81.28,72,10,2.44
235,Rabo De Peixe,PT,2020-11-08 16:58:11,37.8,-25.58,62.6,72,20,11.41
236,Bahir Dar,ET,2020-11-08 16:58:12,11.59,37.39,64.69,72,64,0.31
237,Boguchany,RU,2020-11-08 16:58:12,58.38,97.45,33.71,91,34,5.55
238,Adrar,MR,2020-11-08 16:58:12,20.5,-10.07,93.4,10,0,8.93
239,Margate,GB,2020-11-08 16:58:12,51.38,1.39,57.0,86,69,1.99
240,Khuzdar,PK,2020-11-08 16:58:13,27.74,66.64,59.83,31,0,2.08
241,Tibati,CM,2020-11-08 16:58:13,6.47,12.63,77.16,50,2,2.21
242,Ponta Delgada,PT,2020-11-08 16:58:13,37.73,-25.67,62.6,72,20,11.41
243,Diego De Almagro,CL,2020-11-08 16:58:13,-26.37,-70.05,83.46,15,0,12.93
