City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Tarko-Sale,64.92,77.78,30.99,95,100,2.42,RU,2020-11-08 18:42:43
121,Avarua,-21.21,-159.78,77.0,73,85,2.24,CK,2020-11-08 18:42:43
122,Razole,16.48,81.83,71.35,75,0,3.33,IN,2020-11-08 18:42:43
123,Guerrero Negro,27.98,-114.06,69.04,48,17,14.54,MX,2020-11-08 18:42:43
124,Ponta Do Sol,32.67,-17.1,68.0,64,20,5.82,PT,2020-11-08 18:42:43
125,Chirala,15.82,80.35,73.38,74,0,5.48,IN,2020-11-08 18:42:43
126,Tasiilaq,65.61,-37.64,30.2,100,100,41.38,GL,2020-11-08 18:42:43
127,Campbell River,50.02,-125.24,44.6,33,20,13.87,CA,2020-11-08 18:42:44
128,Alta Floresta,-9.88,-56.09,88.84,52,84,5.32,BR,2020-11-08 18:42:44
129,Hasaki,35.73,140.83,54.0,76,40,9.17,JP,2020-11-08 18:39:07
130,Coruripe,-10.13,-36.18,80.53,65,0,10.94,BR,2020-11-08 18:42:44
131,Shache,38.42,77.24,35.6,60,100,1.45,CN,2020-11-08 18:42:44
132,Fairbanks,64.84,-147.72,33.8,80,90,6.93,US,2020-11-08 18:40:34
133,Khatanga,71.97,102.5,9.57,91,100,19.33,RU,2020-11-08 18:42:44
134,Susanville,40.42,-120.65,34.0,50,90,5.82,US,2020-11-08 18:38:50
135,Sakakah,29.97,40.21,69.8,40,20,13.87,SA,2020-11-08 18:42:44
136,Agua Dulce,18.13,-94.13,84.2,70,75,2.24,MX,2020-11-08 18:42:45
137,Corrales,35.24,-106.61,57.99,40,0,5.99,US,2020-11-08 18:41:05
138,Port Alfred,-33.59,26.89,67.19,69,75,9.55,ZA,2020-11-08 18:42:45
139,Celestun,20.87,-90.4,81.18,72,47,12.12,MX,2020-11-08 18:42:45
140,Marawi,8.0,124.29,75.99,91,100,3.0,PH,2020-11-08 18:42:45
141,Bambous Virieux,-20.34,57.76,73.99,88,75,8.05,MU,2020-11-08 18:42:45
142,Chara,56.91,118.26,-7.17,79,66,0.18,RU,2020-11-08 18:42:45
143,Kruisfontein,-34.0,24.73,59.0,92,100,1.01,ZA,2020-11-08 18:42:46
144,Idenao,4.25,9.0,77.14,80,99,4.45,CM,2020-11-08 18:42:46
145,East London,-33.02,27.91,66.2,88,75,5.82,ZA,2020-11-08 18:42:46
146,Taltal,-25.4,-70.48,66.16,55,22,6.58,CL,2020-11-08 18:42:46
147,Torbay,47.67,-52.73,37.99,51,40,12.75,CA,2020-11-08 18:42:46
148,Cap Malheureux,-19.98,57.61,73.99,79,0,4.0,MU,2020-11-08 18:42:46
149,Ola,59.58,151.28,10.44,86,100,17.29,RU,2020-11-08 18:42:46
150,Dandong,40.13,124.39,30.74,72,0,2.68,CN,2020-11-08 18:42:47
